Event Number,Lepton Isolated Count,Lepton Avg Isolation,Photon Isolated Count,Photon Avg Isolation,Dark Photon Produced
257,1,0.9618419983982921,44,1.7425917660749408,False
258,1,44.528735867333296,58,8.64736219509255,False
259,0,2.0162909592210068,56,0.3631994779033907,False
260,0,16.023939615112173,60,5.248010934997299,False
261,0,0.0,34,0.6028942888390194,False
262,0,6.472865230369376,46,5.3614272709105375,False
263,0,0.0,19,0.25333594305625246,False
264,0,0.0,39,0.7388896849182476,False
265,0,0.0,54,4.628000951882961,False
266,0,0.0,61,7.492160929956759,False
267,0,13.981289410675073,52,12.06249893271104,False
268,0,36.681088056081315,54,5.531289091020458,False
269,0,0.0,54,3.4882179251246725,False
270,0,1.472191172441192,26,3.6863650997630018,False
271,2,0.0,43,6.135304553457483,False
272,0,0.0,40,2.52166254217332,False
273,1,26.46332810365634,59,2.0932782403151253,False
274,0,0.0,59,9.51869884408794,False
275,2,0.0,30,0.2625299867393181,False
276,0,0.0,16,0.12810044799527112,False
277,0,0.0,45,2.6828426292768754,False
278,0,0.0,54,4.4740300508027575,False
279,0,0.0,63,8.81539815810924,False
280,0,16.300391209717077,66,3.4504329071105158,False
281,0,0.0,69,4.4885984812929935,False
282,0,1.022368112341772,27,2.197662870129108,False
283,0,0.0,53,3.675183337414238,False
284,0,0.0,41,1.902564367159254,False
285,1,6.062665795376607,51,3.819003696913375,False
286,0,2.429913112083083,40,2.8944313317428922,False
287,1,20.6619686435678,54,8.650270840723831,False
288,0,0.0,42,3.4935602849964473,False
289,0,24.264877900825578,47,4.963209020925159,False
290,0,20.416160574285342,49,9.284557754388588,False
291,1,2.7479715078008065,52,3.2716276580456842,False
292,0,1.867617081611422,47,0.983532834129525,False
293,0,71.23552752680459,66,5.72470085704209,False
294,0,0.0,34,2.392041386596741,False
295,1,7.292301121724626,62,2.5439385344653878,False
296,0,0.0,24,0.17891509687683316,False
297,0,0.0,37,0.3312248584995463,False
298,0,9.027571651744717,47,3.2233067473294095,False
299,0,0.0,57,3.192906507434821,False
300,0,11.753464930609583,54,10.883458288090484,False
301,0,0.0,65,5.471817835644272,False
302,0,27.2513202585177,55,6.876336144133563,False
303,0,0.0,42,3.1464928689028104,False
304,1,89.04370138005679,46,12.92721414134012,False
305,0,7.0704413232168895,53,2.2491753965062893,False
306,0,0.0,48,0.2677772645180409,False
307,0,0.0,28,3.025224610065387,False
308,1,1.9104083421950173,56,2.4776343281752484,False
309,3,1.8686954326715335,46,5.383350445229735,False
310,0,0.0,51,1.295312674405356,False
311,0,0.0,42,3.0389928531645753,False
312,0,0.0,67,9.042393916210752,False
313,0,0.0,30,0.3833533884245192,False
314,0,0.0,59,4.913374142675467,False
315,1,2.6336350506604504,50,2.6706589447286517,False
316,2,5.023957993213347,59,9.550546303389035,False
317,1,5.876267387914158,53,17.281091611331124,False
318,1,4.499405461498903,54,1.3128537831307374,False
319,0,0.0,21,0.5246887803287315,False
320,0,1.263838095126888,47,4.182848819252242,False
321,3,4.723981832910458,43,0.5120963431311597,False
322,1,5.671796010207713,68,4.230290652793678,False
323,0,0.0,63,5.11566418960103,False
324,0,2.2660287419465597,61,4.798393209114622,False
325,0,0.0,28,0.6199377712412502,False
326,0,2.7949851530258902,54,1.0035610685760996,False
327,0,0.0,68,7.027264815027719,False
328,0,19.429423089563542,57,11.339353397087766,False
329,0,0.0,46,1.2904420383722852,False
330,0,0.0,51,3.887199725048304,False
331,0,2.234634162363354,79,8.07888808809621,False
332,0,0.0,42,0.38952736309102565,False
333,0,1.1425439843423832,71,9.050541615640531,False
334,0,13.425194148856253,61,8.956679834797141,False
335,0,49.23778440672427,53,11.586221096329536,False
336,0,3.230110854747155,42,2.987250738871489,False
337,0,0.0,50,0.7712232457339451,False
338,1,256.2216937030333,55,6.072473763898802,False
339,0,1.187148221236956,44,4.162714947770485,False
340,0,0.0,39,0.7747032819822912,False
341,0,0.0,32,0.5709777022898538,False
342,0,0.0,28,0.7654717484625025,False
343,1,1.6972343732151554,56,13.712027864831613,False
344,1,3.8309628797514916,47,11.265012741359055,False
345,0,0.0,59,3.1134344284484996,False
346,0,0.0,38,0.38840667685938046,False
347,0,0.0,29,0.4799231576165853,False
348,0,36.47813915382736,43,8.92864102057258,False
349,0,0.0,58,1.6498618232454874,False
350,0,1.7981307634416162,24,1.9804218268759286,False
351,2,0.0,39,1.2128331662923963,False
352,0,0.0,33,0.9627733778052971,False
353,0,11.014681710278207,47,13.756953591482654,False
354,0,0.0,42,0.5986843348043593,False
355,0,0.0,37,0.3754801624442355,False
356,0,0.0,73,3.008583410101751,False
357,0,1.019262971354635,41,0.510352934337731,False
358,0,0.0,51,1.4258293385990506,False
359,0,0.0,50,5.54208817616623,False
360,0,18.620005990674112,55,10.34386045815265,False
361,0,1.0180427062845734,54,2.5059618347377994,False
362,0,0.0,48,0.9714740435063756,False
363,0,0.0,40,0.8431404829149356,False
364,0,0.0,52,1.7490243823467013,False
365,0,0.0,22,1.7846000324158788,False
366,1,247.70022507210828,52,10.580089465117627,False
367,0,8.56235087420792,51,17.49239338959911,False
368,2,56.6754655077986,54,4.794763164231008,False
369,0,0.0,54,6.8854576327640356,False
370,0,0.0,80,1.1902262122093585,False
371,0,0.0,29,1.3739176047213073,False
372,0,53.386940224413024,36,17.231619077512814,False
373,0,23.003341755754857,30,13.857215700884337,False
374,0,27.04221681130174,59,9.284908567131,False
375,0,81.78464639650814,52,6.874026964563295,False
376,0,0.0,59,5.1621195734068515,False
377,0,142.39741078055442,46,15.062096772873359,False
378,0,0.0,37,8.091831396914602,False
379,0,50.562205674477696,42,0.6473287650416787,False
380,0,0.0,54,9.351319014228755,False
381,0,0.0,31,0.431543309704742,False
382,1,9.846664792490323,55,3.7225278030507982,False
383,0,302.2734259115869,45,11.752208124874219,False
384,1,1.1658575752952756,38,1.2532226403112383,False
385,0,9.661772864153699,70,5.854917692808057,False
386,0,0.0,50,1.6177889319979442,False
387,0,0.0,63,2.396951498500341,False
388,0,11.748147713565489,48,1.7073417272214044,False
389,0,0.0,29,0.6249262591611254,False
390,0,1.0083299089903368,28,3.9663979113106076,False
391,0,0.0,30,1.1630796879438494,False
392,0,0.0,56,2.400494264882401,False
393,0,1.212541455072402,31,0.9943910511436105,False
394,0,1.0000463316431005,32,2.4068101111732765,False
395,0,0.0,57,10.350487163368406,False
396,0,7.118716061106268,71,5.188415209291058,False
397,0,0.0,57,11.075156872635144,False
398,1,7.289909029946472,31,1.5538903363542376,False
399,0,11.1583582089973,46,10.540516403369647,False
