Event Number,HT,MET,MR,Rsq,Invariant Mass,Sum E_T,Centrality,Sphericity,Aplanarity,Cos(Theta) Jet-MET,Delta R (Avg),Jet Multiplicity,Lepton Multiplicity,Lepton Isolated Count,Lepton Avg Isolation,Photon Isolated Count,Photon Avg Isolation,Dark Photon Produced
111,30.960566237677455,0.0,14000.00000000002,0.0,14000.00000000002,30.960566237677455,0.002211469016976958,23.14782267193254,8.352278165872958,0.0,5.866765781637102,54,2,0,25.749426139115176,19,1.9817257346604533,False
112,79.05465231744307,0.0,14000.000000007576,0.0,14000.000000007576,79.05465231744307,0.005646760879814306,33.61357484536536,13.89767107406322,0.0,5.1442677153266585,84,2,0,0.5780834955762603,41,4.921856087963336,False
113,67.1261161159492,0.0,14000.000000005939,0.0,14000.000000005939,67.1261161159492,0.0047947225797086235,49.52719334704068,22.65090777148276,0.0,5.101923625800728,99,2,0,26.157813354550704,30,5.03555427220532,False
114,315.1513915944403,0.0,13999.999999985725,0.0,13999.999999985725,315.1513915944403,0.02251081368534012,209.01757087094862,95.46427320102512,0.0,4.544118297448906,303,4,0,19.271019575678636,19,28.719347998690537,False
115,29.181267896405174,0.0,13999.999999999987,0.0,13999.999999999987,29.181267896405174,0.002084376278314657,19.16522509676576,6.818545743874413,0.0,5.610953627367345,42,2,0,0.24246525842525576,30,1.0962842947102152,False
116,31.349011303576283,0.0,13999.999999999996,0.0,13999.999999999996,31.349011303576283,0.0022392150931125924,16.108706606108964,5.574831858747595,0.0,6.528693655376541,54,0,0,0.0,31,0.9823504576292253,False
117,200.02017666289584,0.0,13999.999998749969,0.0,13999.999998749969,200.02017666289584,0.014287155477196802,107.45734479772096,35.94148628970801,0.0,5.004752387382422,204,6,0,13.28742241898984,22,12.139833122615567,False
118,22.80539837110661,0.0,14000.0,0.0,14000.0,22.80539837110661,0.001628957026507615,8.559260885605177,3.983438669634634,0.0,7.14130671894964,37,0,0,0.0,15,0.5865435629559359,False
119,151.2340115115294,0.27645796719889537,13995.479051194188,8.538135380022006e-07,13995.479048463698,151.2340115115294,0.010805918332620063,93.46359647111501,40.453879913980884,0.5351983358657106,4.937090291398471,192,2,0,3.9208400878488727,18,10.424195511207769,False
120,35.56214314335606,0.0,13999.99999999193,0.0,13999.99999999193,35.56214314335606,0.0025401530816697546,30.46600766284886,11.669141796827905,0.0,5.794605242232319,58,0,0,0.0,26,2.7982822861019954,False
121,192.57682326022322,0.0,14000.000000015336,0.0,14000.000000015336,192.57682326022322,0.013755487375715162,97.2268192622885,44.749668775346066,0.0,4.7265447006844425,238,2,0,11.34324692714419,29,20.12192575814111,False
122,73.5804814711262,0.0,14000.000000016043,0.0,14000.000000016043,73.5804814711262,0.005255748676502992,40.103009027805854,17.92004683896788,0.0,5.509939203522413,102,0,0,0.0,25,4.9380516036121245,False
123,34.402697239838325,0.0,13999.999999999987,0.0,13999.999999999987,34.402697239838325,0.002457335517131311,22.37040934150823,8.458327524755035,0.0,6.112139906894366,57,3,0,6.49799288546789,30,0.9065634202359029,False
124,39.48035163770006,0.0,14000.00000000003,0.0,14000.00000000003,39.48035163770006,0.00282002511697857,35.76170308160722,9.126509111885936,0.0,5.691737933185238,59,2,0,134.8167887312702,26,5.637505866689049,False
125,137.95587240038384,0.0,14000.000000059661,0.0,14000.000000059661,137.95587240038384,0.00985399088569971,85.61890959635323,39.93052291435392,0.0,5.443040340790025,185,0,0,0.0,24,9.927029761447828,False
126,49.619438150215835,0.0,13999.999999683874,0.0,13999.999999683874,49.619438150215835,0.0035442455822383046,41.47635231812516,18.73339048751137,0.0,5.425400376577248,90,0,0,0.0,27,4.427339044897658,False
127,32.69877528984489,0.0,13999.999999995129,0.0,13999.999999995129,32.69877528984489,0.002335626806418305,18.183956656425323,7.488829286024055,0.0,6.341011265105729,54,2,0,2.1833719120479915,26,1.071893776591893,False
